CP014715.1_cds_AOA66720.1_324	[locus_tag=AT250_GQ6802649]
CP014715.1_cds_AOA65795.1_325	[gene=DIA2]
CP014715.1_cds_AOA66523.1_326	[gene=BAS1]
CP014715.1_cds_AOA66802.1_327	[locus_tag=AT250_GQ6802646]
CP014715.1_cds_AOA66287.1_328	[locus_tag=AT250_GQ6802645]
CP014715.1_cds_AOA66396.1_329	[gene=GPB2]
CP014715.1_cds_AOA66373.1_330	[locus_tag=AT250_GQ6802643]
CP014715.1_cds_AOA65505.1_331	[gene=GPI12]
CP014715.1_cds_AOA66446.1_332	[gene=TFC3]
CP014715.1_cds_AOA66214.1_333	[gene=IMP4]
CP014715.1_cds_AOA65385.1_334	[gene=MSK1]
CP014715.1_cds_AOA65775.1_335	[locus_tag=AT250_GQ6802638]
CP014715.1_cds_AOA66345.1_336	[gene=RNH201]
CP014715.1_cds_AOA65777.1_337	[gene=LAT1]
CP014715.1_cds_AOA66237.1_338	[gene=KNS1]
CP014715.1_cds_AOA66842.1_339	[locus_tag=AT250_GQ6802634]
CP014715.1_cds_AOA66685.1_340	[locus_tag=AT250_GQ6802633]
CP014715.1_cds_AOA66554.1_341	[locus_tag=AT250_GQ6802632]
CP014715.1_cds_AOA65789.1_342	[gene=RPT6]
CP014715.1_cds_AOA66024.1_343	[locus_tag=AT250_GQ6802630]
CP014715.1_cds_AOA65396.1_344	[gene=ZAP1]
CP014715.1_cds_AOA66035.1_345	[locus_tag=AT250_GQ6802628]
CP014715.1_cds_AOA66126.1_346	[gene=NUG1]
CP014715.1_cds_AOA65911.1_347	[gene=SUA7]
CP014715.1_cds_AOA65739.1_348	[locus_tag=AT250_GQ6802625]
CP014715.1_cds_AOA66883.1_349	[gene=HAS1]
CP014715.1_cds_AOA66417.1_350	[locus_tag=AT250_GQ6802623]
CP014715.1_cds_AOA65676.1_351	[locus_tag=AT250_GQ6802622]
CP014715.1_cds_AOA65661.1_352	[gene=TMA20]
CP014715.1_cds_AOA65679.1_353	[gene=UTP8]
CP014715.1_cds_AOA66788.1_354	[gene=YFR006W]
CP014715.1_cds_AOA66041.1_355	[gene=PCM1]
CP014715.1_cds_AOA66188.1_356	[gene=LCL3]
CP014715.1_cds_AOA66486.1_357	[gene=GUP1]
CP014715.1_cds_AOA66411.1_358	[locus_tag=AT250_GQ6802612]
CP014715.1_cds_AOA66173.1_359	[locus_tag=AT250_GQ6802611]
CP014715.1_cds_AOA65895.1_360	[locus_tag=AT250_GQ6802610]
CP014715.1_cds_AOA66249.1_361	[gene=FBA1]
CP014715.1_cds_AOA65698.1_362	[gene=DEF1]
CP014715.1_cds_AOA66155.1_363	[locus_tag=AT250_GQ6802607]
CP014715.1_cds_AOA66015.1_364	[locus_tag=AT250_GQ6802606]
CP014715.1_cds_AOA66765.1_365	[locus_tag=AT250_GQ6802605]
CP014715.1_cds_AOA66278.1_366	[gene=TTI1]
CP014715.1_cds_AOA66691.1_367	[gene=REG1]
CP014715.1_cds_AOA66666.1_368	[gene=RPN9]
CP014715.1_cds_AOA66332.1_369	[locus_tag=AT250_GQ6802601]
CP014715.1_cds_AOA66530.1_370	[gene=OAC1]
CP014715.1_cds_AOA65976.1_371	[gene=YMR102C]
CP014715.1_cds_AOA66894.1_372	[gene=BNA7]
CP014715.1_cds_AOA66886.1_373	[gene=NPL3]
CP014715.1_cds_AOA65420.1_374	[locus_tag=AT250_GQ6802596]
CP014715.1_cds_AOA65626.1_375	[gene=UBX2]
CP014715.1_cds_AOA66869.1_376	[gene=YDL218W]
CP014715.1_cds_AOA66234.1_377	[gene=HLJ1]
CP014715.1_cds_AOA66833.1_378	[gene=INO80]
CP014715.1_cds_AOA66596.1_379	[gene=RRS1]
CP014715.1_cds_AOA65618.1_380	[locus_tag=AT250_GQ6802590]
CP014715.1_cds_AOA66304.1_381	[gene=YOR296W]
CP014715.1_cds_AOA66319.1_382	[locus_tag=AT250_GQ6802588]
CP014715.1_cds_AOA65510.1_383	[locus_tag=AT250_GQ6802587]
CP014715.1_cds_AOA65785.1_384	[gene=YGR053C]
CP014715.1_cds_AOA65678.1_385	[locus_tag=AT250_GQ6802585]
CP014715.1_cds_AOA65962.1_386	[locus_tag=AT250_GQ6802584]
CP014715.1_cds_AOA65865.1_387	[gene=TAF6]
CP014715.1_cds_AOA65627.1_388	[gene=YBR238C]
CP014715.1_cds_AOA65900.1_389	[gene=GPA1]
CP014715.1_cds_AOA65639.1_390	[gene=PCL5]
CP014715.1_cds_AOA66812.1_391	[gene=RSM7]
CP014715.1_cds_AOA66307.1_392	[gene=COR1]
CP014715.1_cds_AOA66377.1_393	[gene=MRP2]
CP014715.1_cds_AOA65560.1_394	[gene=ART10]
CP014715.1_cds_AOA65596.1_395	[locus_tag=AT250_GQ6802575]
CP014715.1_cds_AOA66707.1_396	[gene=CDA2]
CP014715.1_cds_AOA65662.1_397	[gene=YJL055W]
CP014715.1_cds_AOA65491.1_398	[gene=PBS2]
CP014715.1_cds_AOA65943.1_399	[gene=SIN4]
CP014715.1_cds_AOA66688.1_400	[gene=GDH3]
CP014715.1_cds_AOA66686.1_401	[locus_tag=AT250_GQ6802569]
CP014715.1_cds_AOA66162.1_402	[locus_tag=AT250_GQ6802568]
CP014715.1_cds_AOA65770.1_403	[gene=ISA1]
CP014715.1_cds_AOA66112.1_404	[gene=FRA1]
CP014715.1_cds_AOA65916.1_405	[locus_tag=AT250_GQ6802565]
CP014715.1_cds_AOA66855.1_406	[gene=RFA1]
CP014715.1_cds_AOA66698.1_407	[locus_tag=AT250_GQ6802563]
